id,airport_from,airport_to,date
0,66IS,1E8,2014-10-23 11:00:20
1,66IS,FKKF,2010-10-15 16:15:03
2,LFKX,2VG9,2016-03-06 08:17:58
3,LFKX,FEGF,2011-12-28 11:27:28
4,LFKX,SCML,2015-01-24 10:16:31
5,LFKX,CO02,2013-11-12 21:49:57
6,LFKX,JP-0046,2012-05-24 22:09:34
7,LFKX,KD83,2009-09-12 00:00:43
8,LFKX,OYSF,2013-07-03 08:42:07
9,LFKX,USHH,2012-09-30 01:47:58
10,LFKX,TX71,2009-01-13 22:55:36
11,LFKX,1IL8,2011-01-29 01:05:53
12,4CA3,LFGP,2014-09-04 14:35:24
13,4CA3,KSGU,2010-02-08 13:43:20
14,4KY6,EDSB,2016-01-25 19:49:36
15,4KY6,FEA,2011-06-24 13:09:19
16,TR-0007,AO-0023,2010-03-09 19:08:56
17,TR-0007,AR-0312,2009-03-30 18:29:14
18,KP-0019,GB-0431,2017-01-18 04:04:17
19,KP-0019,KPAO,2011-09-10 06:19:46
20,KP-0019,BG-0040,2016-12-28 15:01:07
21,KP-0019,SWFS,2010-04-21 13:40:34
22,KP-0019,FAKK,2012-12-23 06:22:44
23,KP-0019,LA17,2015-08-15 10:12:39
24,KP-0019,NTTO,2016-05-07 04:39:03
25,PN64,4KT4,2010-05-12 12:27:41
26,PN64,NV28,2013-09-30 23:51:32
27,PN64,CT07,2011-04-12 16:36:52
28,PN64,AR-0307,2014-09-16 06:34:57
29,PN64,AR-0573,2013-09-19 08:18:43
30,PN64,19T,2014-01-23 19:56:03
31,PN64,SMH,2017-08-31 13:39:48
32,PN64,EGDR,2017-08-27 13:15:24
33,PN64,KR-0239,2016-04-23 12:41:45
34,PN64,79OI,2010-08-04 14:02:27
35,PN64,2E8,2016-03-24 08:54:04
36,NZPO,AR-0641,2013-04-05 23:07:08
37,NZPO,PAPB,2017-11-22 16:27:54
38,NZPO,AR-0473,2011-01-27 01:20:54
39,NZPO,FR-0056,2017-03-27 12:27:38
40,NZPO,LOIJ,2014-11-18 07:10:39
