id,airport_from,airport_to,date
0,0WI1,3AA3,2016-07-13 18:15:09
1,0WI1,3AL9,2013-10-06 11:23:37
2,0WI1,42OK,2015-02-19 15:31:34
3,0WI1,18KS,2016-03-28 13:47:21
4,0WI1,0G5,2014-02-27 11:30:09
5,1MA1,18AR,2011-05-27 00:43:18
6,1MA1,41OI,2010-03-15 01:02:31
7,0NJ3,1CA0,2012-07-31 12:45:35
8,0NJ3,0LS8,2016-07-05 00:42:46
9,05VA,24NC,2017-07-23 18:26:16
10,05VA,1LA4,2017-12-23 12:39:27
11,05VA,0O4,2009-03-20 19:49:52
12,05VA,3W3,2014-04-27 06:44:31
13,05VA,45OI,2012-08-23 12:20:55
14,05VA,2IL5,2012-06-28 21:58:05
15,05VA,1ND3,2017-03-05 21:49:19
16,05VA,2GE5,2009-05-19 14:34:34
17,12MD,3CA0,2015-11-17 15:52:50
18,12MD,13JY,2012-01-06 07:12:04
19,3WN9,0MN9,2011-06-12 19:54:29
20,3WN9,0MS7,2017-12-31 06:16:52
21,3WN9,08ND,2017-07-19 13:48:37
22,3WN9,1N2,2016-08-24 09:21:03
23,3WN9,1IL1,2009-09-22 02:53:13
24,3WN9,0CA9,2012-12-26 21:23:41
25,3WN9,2NK7,2013-05-10 18:03:12
26,3WN9,21LA,2014-11-06 16:29:22
27,3WN9,08NY,2017-11-05 05:23:14
28,3WN9,3LL4,2015-03-24 15:59:02
29,3WN9,30MI,2015-03-31 19:27:22
30,1XA7,0R7,2009-01-05 22:17:00
31,1XA7,3MN9,2013-05-24 20:06:18
32,1XA7,0GA1,2014-05-03 00:03:50
33,1XA7,3TS0,2016-01-19 21:25:56
34,1XA7,2CD3,2017-06-21 22:59:31
35,1XA7,1PS4,2013-03-30 16:11:53
36,25TN,1LS0,2015-12-14 03:46:23
37,25TN,0NE2,2014-01-10 16:53:41
38,13SC,00W,2016-11-02 21:29:22
39,13SC,3TN0,2017-12-10 09:39:02
40,3AK9,00KS,2017-08-08 20:48:49
41,3AK9,07OK,2010-12-08 15:20:58
42,3AK9,1ND4,2015-09-27 02:09:33
43,3AK9,3VS,2013-09-17 14:43:24
44,3AK9,2VG9,2014-01-09 12:03:22
45,3AK9,1GE6,2014-07-03 23:18:19
46,3AK9,3FL5,2011-12-02 04:51:22
47,3AK9,28CA,2010-09-21 01:33:48
48,23ID,0PN1,2011-08-18 22:12:11
49,23ID,0CT9,2013-06-13 18:58:44
50,23ID,16IA,2011-05-20 08:15:49
51,23ID,24TE,2015-08-12 16:58:53
52,23ID,19CL,2009-03-20 08:20:05
53,23ID,0NE1,2013-08-12 16:22:20
54,23ID,1MT1,2011-07-02 22:28:58
55,23ID,10TS,2011-07-08 21:41:46
56,23ID,13IN,2013-05-17 14:47:50
57,23ID,22LA,2009-04-03 12:16:22
58,23ID,2ND7,2011-05-19 15:57:32
59,0TE7,01OI,2009-07-10 01:27:27
60,0TE7,32XS,2011-06-22 05:11:54
61,0TE7,23CN,2017-05-26 22:58:19
62,0TE7,2Z2,2016-12-26 19:19:55
63,0TE7,3PS4,2012-10-06 06:49:39
64,0TE7,0C9,2009-08-09 09:16:28
65,0TE7,17MA,2015-10-13 19:17:45
66,0TE7,1MI0,2017-09-29 04:14:52
67,0TE7,2N7,2015-12-01 05:48:42
68,0TE7,30NJ,2014-03-07 06:04:50
69,35TS,2NH2,2014-07-04 11:43:44
70,35TS,0NY5,2012-04-04 13:03:58
71,35TS,2TX9,2017-03-01 20:22:39
72,35TS,2TE2,2009-02-14 19:45:25
73,35TS,3IS4,2014-08-19 00:59:24
74,35TS,35CL,2013-04-10 04:37:20
75,35TS,27WA,2011-03-03 04:49:35
76,35TS,1LA1,2017-12-26 21:41:04
77,35TS,3NY5,2017-10-30 12:18:11
78,2CO8,1WA2,2010-12-31 15:31:38
79,2CO8,0U9,2015-04-07 22:25:14
80,1XS2,36H,2013-10-20 14:29:47
81,1XS2,22IS,2009-10-24 05:30:18
82,1XS2,45OG,2010-04-06 10:04:23
83,1XS2,37IN,2009-11-01 05:20:40
84,1XS2,3FL9,2015-11-09 05:33:07
85,1XS2,2SD8,2011-01-17 07:19:04
86,1XS2,0FD2,2012-06-24 07:17:50
87,1XS2,0TS1,2010-04-18 18:48:03
88,1XS2,2MD3,2011-12-23 19:58:59
89,1NC3,42VG,2016-03-24 12:20:09
90,1NC3,0CA9,2013-02-16 02:00:38
91,1NC3,42NH,2012-08-07 14:17:17
92,1NC3,30TS,2012-09-04 04:36:47
93,1NC3,2CL8,2017-12-31 07:30:23
94,1NC3,21OI,2009-11-05 21:45:03
95,1NC3,36GA,2015-07-06 15:44:08
96,1NC3,1FD7,2015-10-05 08:31:07
97,1NC3,08G,2016-03-13 16:56:15
98,1NC3,11AZ,2015-03-31 10:54:17
99,3U9,3AK0,2012-02-19 23:24:48
100,3U9,2MT9,2017-09-15 04:06:44
101,3U9,2M1,2017-11-15 20:35:06
102,3U9,2CD9,2012-05-16 19:04:07
103,3U9,0CL7,2013-06-30 17:16:09
104,3U9,11CN,2012-08-16 16:36:01
