id,nombre,sistema_electrico,provincia,comuna,tipo,potencia
0,ENERGIA PACIFICO,SIC,CACHAPOAL,MOSTAZAL,Biomasa,15.600000000000000
1,ARAUCO,SIC,ARAUCO,ARAUCO,Biomasa,24.000000000000000
2,LOMA LOS COLORADOS (KDM),SIC,CHACABUCO,TIL TIL,Biomasa,2.000000000000000
3,LAUTARO,SIC,CAUTIN,LAUTARO,Biomasa,26.000000000000000
4,HBS,SIC,BIOBIO,LOS ANGELES,Biomasa,2.200000000000000
5,CHOLGUAN,SIC,NUBLE,YUNGAY,Biomasa,13.000000000000000
6,NUEVA ALDEA I (EX ITATA),SIC,NUBLE,RANQUIL,Biomasa,14.000000000000000
7,TAMM,SIC,COLCHAGUA,CHIMBARONGO,Biomasa,0.190000000000000
8,LAUTARO II,SIC,CAUTIN,LAUTARO,Biomasa,22.000000000000000
9,LAJA,SIC,BIOBIO,CABRERO,Biomasa,12.600000000000000
10,CMPC PACIFICO,SIC,MALLECO,COLLIPULLI,Biomasa,33.000000000000000
11,MASISA,SIC,BIOBIO,CABRERO,Biomasa,11.000000000000000
12,CMPC LAJA,SIC,BIOBIO,LAJA,Biomasa,25.000000000000000
13,VALDIVIA,SIC,VALDIVIA,MARIQUINA,Biomasa,61.000000000000000
14,ANCALI 1,SIC,BIOBIO,LOS ANGELES,Biomasa,1.560000000000000
15,SANTA MARTA,SIC,TALAGANTE,TALAGANTE,Biomasa,13.800000000000001
16,ESCUADRON,SIC,CONCEPCION,CORONEL,Biomasa,14.199999999999999
17,LAS PAMPAS,SIC,CACHAPOAL,PICHIDEGUA,Biomasa,0.400000000000000
18,COELEMU,SIC,NUBLE,COELEMU,Biomasa,7.100000000000000
19,LICANTEN,SIC,CURICO,LICANTEN,Biomasa,6.000000000000000
20,SANTA IRENE,SIC,COLCHAGUA,PALMILLA,Biomasa,0.400000000000000
21,VINALES,SIC,TALCA,CONSTITUCION,Biomasa,22.000000000000000
22,TREBAL MAPOCHO,SIC,TALAGANTE,PADRE HURTADO,Biomasa,8.230000000000000
23,CMPC SANTA FE,SIC,BIOBIO,NACIMIENTO,Biomasa,5.000000000000000
24,LOMAS LOS COLORADOS II,SIC,CHACABUCO,TIL TIL,Biomasa,18.199999999999999
25,NUEVA ALDEA III,SIC,NUBLE,RANQUIL,Biomasa,37.000000000000000
26,EL MOLLE,SIC,VALPARAISO,VALPARAISO,Biomasa,4.500000000000000
27,CELCO,SIC,TALCA,CONSTITUCION,Biomasa,8.000000000000000
28,SANTA FE,SIC,BIOBIO,NACIMIENTO,Biomasa,67.200000000000003
29,CONEJO SOLAR,SIC,ANTOFAGASTA,TALTAL,Solar,104.000000000000000
30,SOLAR PSF CASAS BLANCAS,SIC,COMBARBALA,COMBARBALA,Solar,2.000000000000000
31,SOLAR LA SILLA,SIC,ELQUI,LA HIGUERA,Solar,1.890000000000000
32,TILTIL SOLAR,SIC,CHACABUCO,TILTIL,Solar,3.000000000000000
33,LLANO DE LLAMPOS,SIC,COPIAPO,COPIAPO,Solar,101.019999999999996
34,CARRERA PINTO ETAPA II,SIC,COPIAPO,COPIAPO,Solar,73.500000000000000
35,CHUCHINI,SIC,CHOAPA,SALAMANCA,Solar,2.880000000000000
36,SOLAR DIEGO DE ALMAGRO,SIC,CHANARAL,DIEGO DE ALMAGRO,Solar,28.050000000000001
37,TAMBO REAL,SIC,ELQUI,VICUNA,Solar,2.940000000000000
38,LA CHAPEANA,SIC,LIMARI,OVALLE,Solar,2.780000000000000
39,PARQUE FOTOVOLTAICO SAN PEDRO,SIC,MELIPILLA,SAN PEDRO,Solar,3.000000000000000
40,URIBE SOLAR,SING,ANTOFAGASTA,ANTOFAGASTA,Solar,57.619999999999997
41,LAS MOLLACAS,SIC,LIMARI,OVALLE,Solar,2.780000000000000
42,LUZ DEL NORTE,SIC,COPIAPO,COPIAPO,Solar,141.000000000000000
43,SOLAR SAN ANDRES,SIC,COPIAPO,COPIAPO,Solar,50.600000000000001
44,CHANARES,SIC,CHANARAL,DIEGO DE ALMAGRO,Solar,36.000000000000000
45,POZO ALMONTE SOLAR 1,SING,TAMARUGAL,POZO ALMONTE,Solar,9.000000000000000
46,SOL DEL NORTE,SIC,ELQUI,VICUNA,Solar,2.960000000000000
47,LOS PUQUIOS,SING,TAMARUGAL,PICA,Solar,2.470000000000000
48,PARQUE FOTOVOLTAICO LOS LOROS,SIC,COPIAPO,TIERRA AMARILLA,Solar,45.799999999999997
49,SANTA CECILIA,SIC,HUASCO,VALLENAR,Solar,2.960000000000000
50,PARQUE SOLAR PAMPA CAMARONES,SING,ARICA,ARICA,Solar,6.240000000000000
51,PMGD PICA PILOT,SING,TAMARUGAL,PICA,Solar,0.600000000000000
52,SOLAR ESPERANZA II,SIC,CARDENAL CARO,MARCHIHUE,Solar,9.000000000000000
53,BELLAVISTA,SIC,CHOAPA,ILLAPEL,Solar,3.000000000000000
54,SOLAR ESPERANZA,SIC,CHANARAL,DIEGO DE ALMAGRO,Solar,2.880000000000000
55,PV SALVADOR,SIC,CHANARAL,DIEGO DE ALMAGRO,Solar,68.000000000000000
56,SANTA JULIA,SIC,PETORCA,PETORCA,Solar,3.000000000000000
57,SOLAR LAS TERRAZAS,SIC,COPIAPO,TIERRA AMARILLA,Solar,3.000000000000000
58,SOLAR JAMA 1,SING,EL LOA,CALAMA,Solar,30.239999999999998
59,LALACKAMA,SIC,ANTOFAGASTA,TALTAL,Solar,55.000000000000000
60,PILOTO SOLAR CARDONES,SIC,COPIAPO,COPIAPO,Solar,0.440000000000000
61,HORMIGA,SIC,SAN FELIPE DE ACONCAGUA,SAN FELIPE,Solar,2.540000000000000
62,LAS ARAUCARIAS,SIC,SANTIAGO,QUILICURA,Solar,0.140000000000000
63,LUNA DEL NORTE,SIC,ELQUI,VICUNA,Solar,2.960000000000000
64,SOLAR NILHUE,SIC,SAN FELIPE DE ACONCAGUA,CATEMU,Solar,1.100000000000000
65,CARRERA PINTO ETAPA I,SIC,COPIAPO,COPIAPO,Solar,20.000000000000000
66,LALACKAMA 2,SIC,ANTOFAGASTA,TALTAL,Solar,16.500000000000000
67,EL DIVISADERO,SIC,LIMARI,PUNITAQUI,Solar,3.000000000000000
68,PARQUE FOTOVOLTAICO LAGUNILLA,SIC,LIMARI,OVALLE,Solar,2.950000000000000
69,ANDES SOLAR,SING,ANTOFAGASTA,ANTOFAGASTA,Solar,21.800000000000001
70,SDGX01,SIC,ELQUI,ANDACOLLO,Solar,1.280000000000000
71,SOLAR JAMA 2,SING,EL LOA,CALAMA,Solar,22.410000000000000
72,POZO ALMONTE SOLAR 3,SING,TAMARUGAL,POZO ALMONTE,Solar,16.000000000000000
73,SOLAR TECHOS ALTAMIRA,SIC,SANTIAGO,PENALOLEN,Solar,0.150000000000000
74,MARIA ELENA FV,SING,TOCOPILLA,MARIA ELENA,Solar,68.000000000000000
75,SOLAR HORNITOS,SIC,COPIAPO,TIERRA AMARILLA,Solar,0.320000000000000
76,POZO ALMONTE SOLAR 2,SING,TAMARUGAL,POZO ALMONTE,Solar,7.500000000000000
77,SOLAR PSF LOMAS COLORADAS,SIC,LIMARI,COMBARBALA,Solar,2.000000000000000
78,SOLAR JAVIERA,SIC,CHANARAL,CHANARAL,Solar,65.000000000000000
79,CHILE CHICO,AYSEN,GENERAL CARRERA,CHILE CHICO,Termoelectrica,40.97861228638371
80,NUEVA PUERTO IBANEZ,AYSEN,GENERAL CARRERA,RIO IBANEZ,Termoelectrica,10.861014704051025
81,DANISCO,SIC,LLANQUIHUE,CALBUCO,Termoelectrica,19.938811594933174
82,DEGAN,SIC,CHILOE,ANCUD,Termoelectrica,44.4179778670746
83,CONCON,SIC,VALPARAISO,CONCON,Termoelectrica,14.895280879341481
84,LAGO VERDE,AYSEN,COIHAIQUE,LAGO VERDE,Termoelectrica,36.14076676439498
85,"LAGUNA VERDE (U1, U2, TG)",SIC,VALPARAISO,VALPARAISO,Termoelectrica,52.186392036883845
86,QUINTERO (U1 Y U2),SIC,VALPARAISO,QUINTERO,Termoelectrica,67.5788198459921
87,PALENA,AYSEN,PALENA,PALENA,Termoelectrica,66.15548827980824
88,PUNTA COLORADA,SIC,ELQUI,LA HIGUERA,Termoelectrica,20.07942620277004
89,QUELLON II,SIC,CHILOE,QUELLON,Termoelectrica,57.31787079735676
90,MANIHUALES,AYSEN,AYSEN,AYSEN,Termoelectrica,11.054594876684337
91,CENIZAS,SIC,COPIAPO,COPIAPO,Termoelectrica,58.934865029910306
92,MONTE PATRIA,SIC,LIMARI,MONTE PATRIA,Termoelectrica,40.057198610094794
93,TAPIHUE,SIC,VALPARAISO,CASABLANCA,Termoelectrica,25.153883301762125
94,NUEVA ALDEA II,SIC,BIOBIO,RANQUIL,Termoelectrica,66.31256364146111
95,EMELDA (U1 Y U2),SIC,CHANARAL,DIEGO DE ALMAGRO,Termoelectrica,63.24303786328678
96,EL CANELO 1,SIC,LLANQUIHUE,PUERTO VARAS,Termoelectrica,62.66406499284581
97,SALMOFOOD I,AYSEN,CHILOE,CASTRO,Termoelectrica,18.661459642699693
98,PORVENIR,MAGALLANES,TIERRA DEL FUEGO,PORVENIR,Termoelectrica,7.7063481553101125
99,INACAL,SING,ANTOFAGASTA,ANTOFAGASTA,Termoelectrica,58.788376695724075
100,EL TRARO,AYSEN,COIHAIQUE,COCHRANE,Termoelectrica,55.5845314699012
101,CHILE CHICO,AYSEN,GENERAL CARRERA,CHILE CHICO,Termoelectrica,21.069526962275784
102,LOUSIANA PACIFIC,SIC,VALDIVIA,PANGUIPULLI,Termoelectrica,54.17307399759172
103,LA JUNTA,AYSEN,AYSEN,CISNES,Termoelectrica,39.22452473569773
104,TERMOELECTRICA HORNITOS (CTH),SING,ANTOFAGASTA,MEJILLONES,Termoelectrica,63.4194170077539
105,COLIHUES (U1 Y U2),SIC,CACHAPOAL,REQUINOA,Termoelectrica,18.819776946118285
106,ANDES GENERACION,SIC,CHANARAL,DIEGO DE ALMAGRO,Termoelectrica,24.68503229050549
107,MULTIEXPORT (I-II),SIC,LLANQUIHUE,PUERTO MONTT,Termoelectrica,66.03344696214268
108,LOS VIENTOS,SIC,SAN FELIPE DE ACONCAGUA,LLAILLAY,Termoelectrica,19.359678417943343
109,CHILE CHICO,AYSEN,GENERAL CARRERA,CHILE CHICO,Termoelectrica,65.75927145403102
110,"HUASCO (U1, U2, U3)",SIC,HUASCO,HUASCO,Termoelectrica,17.39754738275143
111,"YUNGAY (U1, U2, U3, U4)",SIC,BIOBIO,CABRERO,Termoelectrica,34.762469590243356
112,LOS ALAMOS,SIC,ARAUCO,LOSALAMOS,Termoelectrica,58.02922842428075
113,"ESPERANZA 1,2 Y 3",SIC,CACHAPOAL,REQUINOA,Termoelectrica,67.72392397039498
114,CALLE CALLE,SIC,VALDIVIA,VALDIVIA,Termoelectrica,52.34735327670519
115,ANTILHUE (U1 Y U2),SIC,VALDIVIA,VALDIVIA,Termoelectrica,58.474127715765086
116,PLACILLA,SIC,VALPARAISO,VALPARAISO,Termoelectrica,33.611124497793824
117,PETROPOWER,SIC,CONCEPCION,HUALPEN,Termoelectrica,16.6493363242397
118,BIO CRUZ,SIC,QUILLOTA,LA CRUZ,Termoelectrica,39.67647527210138
119,"GUACOLDA (U1, U2, U3, U4, U5)",SIC,HUASCO,HUASCO,Termoelectrica,41.116255968871
120,TEHUELCHE,AYSEN,COYHAIQUE,COYHAIQUE,Termoelectrica,28.260171632850426
121,TEHUELCHE,AYSEN,COYHAIQUE,COYHAIQUE,Termoelectrica,28.4424749774591
122,TRES PUENTES,MAGALLANES,MAGALLANES,PUNTA ARENAS,Termoelectrica,7.5817325282809245
123,TERMOELECTRICA NORGENER (NTO2),SING,ANTOFAGASTA,MEJILLONES,Termoelectrica,13.657066993269684
124,MANTOS BLANCOS,SING,ANTOFAGASTA,ANTOFAGASTA,Termoelectrica,10.505520387494993
125,CANETE,SIC,ARAUCO,CANETE,Termoelectrica,39.346681594929656
126,TRONGOL-CURANILAHUE,SIC,ARAUCO,CURANILAHUE,Termoelectrica,40.46746668983476
127,CHILE CHICO,AYSEN,GENERAL CARRERA,CHILE CHICO,Termoelectrica,54.31608688771829
128,SKRETTING,SIC,OSORNO,OSORNO,Termoelectrica,23.41165041387824
129,UJINA 6 (UG1-UG5-UG4-UG3-UG2-UG6),SING,TAMARUGAL,PICA,Termoelectrica,36.831236931090224
130,LOS GUINDOS,SIC,BIOBIO,CABRERO,Termoelectrica,51.55046916182815
131,TERMOELECTRICA MEJILLONES (CTM3-CTM2),SING,ANTOFAGASTA,MEJILLONES,Termoelectrica,15.090005949478217
132,SAN LORENZO DE DIEGO DE ALMAGRO (U1-U2-U3),SIC,CHANARAL,DIEGO DE ALMAGRO,Termoelectrica,33.184955487012424
133,NUEVA RENCA,SIC,SANTIAGO,RENCA,Termoelectrica,22.442302853320967
134,BIOMAR,SIC,LLANQUIHUE,CALBUCO,Termoelectrica,41.15919739744918
135,PLANTA DE ACIDO SULFURICO MEJILLONES,SING,ANTOFAGASTA,MEJILLONES,Termoelectrica,53.4936517271518
136,LA PORTADA (TECNEC 1_6),SING,ANTOFAGASTA,ANTOFAGASTA,Termoelectrica,66.55214266694789
137,EL SALVADOR,SIC,CHANARAL,DIEGO DE ALMAGRO,Termoelectrica,56.74791340160607
138,CMPC CORDILLERA,SIC,CORDILLERA,PUENTE ALTO,Termoelectrica,34.076100495542946
139,WATT,SIC,OSORNO,OSORNO,Termoelectrica,58.48633087557798
140,KELAR,SING,ANTOFAGASTA,MEJILLONES,Termoelectrica,59.878251840882356
141,Nehuenco II CA,SIC,VALPARAISO,QUILLOTA,Termoelectrica,52.73413602088959
142,CARDONES,SIC,COPIAPO,COPIAPO,Termoelectrica,26.464418204604595
143,TERMOELECTRICA ANGAMOS 2 (ANG2),SING,ANTOFAGASTA,MEJILLONES,Termoelectrica,21.524554073962364
144,CONTULMO,SIC,ARAUCO,CONTULMO,Termoelectrica,21.590289881486825
145,TERMOELECTRICA TARAPACA,SING,IQUIQUE,IQUIQUE,Termoelectrica,69.73529252777423
146,DIESEL ENAEX (CUMMINS-DEUTZ),SING,ANTOFAGASTA,MEJILLONES,Termoelectrica,27.326703417965145
147,LOS ESPINOS,SIC,CHOAPA,LOS VILOS,Termoelectrica,45.539614279620636
148,PUNITAQUI,SIC,LIMARI,PUNITAQUI,Termoelectrica,38.15068822769806
149,JCE,SIC,BIOBIO,LOSANGELES,Termoelectrica,43.30348255064439
150,AYSEN TERMICO,AYSEN,AYSEN,AYSEN,Termoelectrica,16.48229558597457
151,RENCA,SIC,SANTIAGO,RENCA,Termoelectrica,55.92014800136254
152,CHUFKEN (TRAIGUEN),SIC,MALLECO,TRAIGUEN,Termoelectrica,56.34586810755032
153,QUINTAY,SIC,VALPARAISO,CASABLANCA,Termoelectrica,66.76852390426893
154,HORNOPIREN,AYSEN,PALENA,HUALAIHUE,Termoelectrica,53.758414411485354
155,TEHUELCHE PROVISORIA,AYSEN,COYHAIQUE,COYHAIQUE,Termoelectrica,59.75417599548398
156,DIEGO DE ALMAGRO (U1-U2),SIC,CHANARAL,DIEGO DE ALMAGRO,Termoelectrica,67.69301813145627
157,NEHUENCO 9B,SIC,VALPARAISO,QUILLOTA,Termoelectrica,64.83487562573848
158,TERMOELECTRICA TOCOPILLA (U12),SING,TOCOPILLA,TOCOPILLA,Termoelectrica,40.14567171637219
159,DIESEL ARICA(GMAR_M1AR),SING,ARICA,ARICA,Termoelectrica,50.38670981937404
