id,nombre,sistema_electrico,provincia,comuna,consumo_mw
0,CENTRAL SANTA BARBARA,AYSEN,GENERAL CARRERA,RIO IBANEZ,101.405933
1,CENTRAL NUEVO REINO TERMICA,AYSEN,AYSEN,CISNES,130.634169
2,CENTRAL LAGO VERDE,AYSEN,COYHAIQUE,COYHAIQUE,111.291753
3,CENTRAL TAPERA,AYSEN,COYHAIQUE,LAGO VERDE,117.114753
4,CENTRAL PALENA,AYSEN,GENERAL CARRERA,CHILE CHICO,121.398819
5,CENTRAL EL TRARO HIDRO,AYSEN,PALENA,CHAITEN,108.826189
6,CENTRAL HIELOS DEL SUR TERMICA,AYSEN,CAPITAN PRAT,O'HIGGINS,134.114798
7,CENTRAL CALETA ANDRADE,AYSEN,AYSEN,AYSEN,113.000968
8,CENTRAL FUTALELFU,AYSEN,CAPITAN PRAT,COCHRANE,109.028333
9,CENTRAL CHILE CHICO,AYSEN,PALENA,PALENA,111.1872
10,PUNTA ARENAS,MAGALLANES,MAGALLANES,PUNTA ARENAS,118.948388
11,RENCA,MAGALLANES,TIERRA DEL FUEGO,PORVENIR,105.300792
12,PUENTE ALTA,MAGALLANES,ULTIMA ESPERANZA,NATALES,135.99146
13,ZONA DE CAIDA,MAGALLANES,ANTARTICA CHILENA,CABO DE HORNOS,136.573477
14,RENGO,SIC,CACHAPOAL,RENGO,106.61591
15,ALGARROBO NORTE,SIC,SAN ANTONIO,ALGARROBO,120.644454
16,HUALTE,SIC,NUBLE,NINHUE,134.003017
17,CIRUELITO,SIC,NUBLE,PINTO,124.7367
18,PACIFICO,SIC,MALLECO,COLLIPULLI,135.413302
19,TAP SAN SEBASTIAN CTO2,SIC,LOS ANDES,SAN ESTEBAN,116.383512
20,SECCIONADORA SAN ANDRES,SIC,COPIAPO,COPIAPO,122.544195
21,CAPULLO,SIC,OSORNO,PUYEHUE,137.201642
22,SAN PABLO,SIC,SANTIAGO,PUDAHUEL,106.196255
23,CENTRAL CALLE CALLE,SIC,VALDIVIA,VALDIVIA,120.83986
24,LIRQUEN,SIC,CONCEPCION,PENCO,130.862738
25,LOS LAGOS,SIC,VALDIVIA,LOS LAGOS,120.883418
26,PUNTA PALMERAS,SIC,CHOAPA,CANELA,120.183603
27,MAMPIL,SIC,BIOBIO,SANTA BARBARA,124.208034
28,PIRQUE,SIC,CORDILLERA,PIRQUE,106.415818
29,COYA,SIC,CACHAPOAL,MACHALI,127.487991
30,EL RACO,SIC,CORDILLERA,PUENTE ALTO,128.018594
31,LORETO,SIC,CACHAPOAL,COLTAUCO,138.220353
32,TAP ALTO MELIPILLA 220,SIC,MELIPILLA,MELIPILLA,121.237942
33,LOS TAMBORES,SIC,RANCO,LA UNION,106.421174
34,MOLIENDA 3,SIC,SANTIAGO,LO BARNECHEA,123.803532
35,TEMUCO,SIC,CAUTIN,TEMUCO,127.375748
36,QUILICURA,SIC,SANTIAGO,QUILICURA,106.557584
37,MINERA LA CANDELARIA,SIC,COPIAPO,TIERRA AMARILLA,120.747551
38,TAP ESCUADRON,SIC,CONCEPCION,CORONEL,112.633135
39,QUILMO,SIC,NUBLE,CHILLAN VIEJO,117.668582
40,TAP PUNTA PEUCO,SIC,CHACABUCO,TILTIL,103.571095
41,TAP NIHUE,SIC,MELIPILLA,SAN PEDRO,129.928988
42,MAIPU,SIC,SANTIAGO,MAIPU,126.210792
43,VALLENAR,SIC,HUASCO,VALLENAR,132.323176
44,JUNCAL PORTILLO,SIC,LOS ANDES,LOS ANDES,115.631023
45,SANTA RAQUEL,SIC,SANTIAGO,LA FLORIDA,133.937543
46,SAN JOAQUIN (C.G.E.),SIC,ELQUI,LA SERENA,123.338734
47,PLANTA MDP TENO,SIC,CURICO,TENO,107.565709
48,TALTAL (ELECDA),SIC,ANTOFAGASTA,TALTAL,119.194129
49,TAP PUDAHUEL,SIC,SANTIAGO,CERRO NAVIA,130.381183
50,LAMPA,SIC,CHACABUCO,LAMPA,100.917239
51,LOS COLORADOS,SIC,HUASCO,HUASCO,135.411341
52,LOS PINOS,SIC,BIOBIO,CABRERO,133.220208
53,MACHICURA,SIC,LINARES,COLBUN,125.175992
54,EL PAICO,SIC,TALAGANTE,EL MONTE,114.424021
55,RANGUILI,SIC,COLCHAGUA,LOLOL,131.271645
56,ESTRUCTURA 74,SIC,TALCA,TALCA,102.191137
57,MARIQUINA,SIC,VALDIVIA,MARIQUINA,129.917094
58,LO MIRANDA,SIC,CACHAPOAL,DONIHUE,116.995139
59,TRES ESQUINAS T2,SIC,NUBLE,BULNES,101.996912
60,MIRAFLORES,SIC,VALPARAISO,VINA DEL MAR,127.610131
61,LAS TORTOLAS,SIC,CHACABUCO,COLINA,135.01633
62,TAP CARRASCAL,SIC,SANTIAGO,RENCA,123.387149
63,PITRUFQUEN,SIC,CAUTIN,PITRUFQUEN,107.813048
64,PROCESO,SIC,VALPARAISO,QUINTERO,120.650191
65,QUELLON,SIC,CHILOE,QUELLON,128.405308
66,ESTRUCTURA 92,SIC,CONCEPCION,LOTA,120.432884
67,CURICO,SIC,CURICO,CURICO,129.125091
68,MONTE REDONDO,SIC,LIMARI,OVALLE,124.446013
69,MAIPO,SIC,MAIPO,BUIN,107.656035
70,ESTRUCTURA 28,SIC,CONCEPCION,CONCEPCION,125.840786
71,TAP PACHACAMA,SIC,QUILLOTA,CALERA,124.073316
72,EL MELON,SIC,QUILLOTA,NOGALES,138.849582
73,TOME,SIC,CONCEPCION,TOME,137.390276
74,CURACAVI,SIC,MELIPILLA,CURACAVI,131.639173
75,HOSPITAL,SIC,MAIPO,PAINE,102.676172
76,OXY,SIC,CONCEPCION,TALCAHUANO,103.990312
77,TAP LA LAJA,SIC,CORDILLERA,SAN JOSE DE MAIPO,134.766476
78,SAN ANDRES (HSA),SIC,COLCHAGUA,SAN FERNANDO,110.744064
79,PLANTA LICANCEL,SIC,CURICO,LICANTEN,131.464191
80,ESTRUCTURA 170,SIC,CHOAPA,SALAMANCA,101.450393
81,EL TORO,SIC,BIOBIO,ANTUCO,104.585748
82,TRAIGUEN,SIC,MALLECO,TRAIGUEN,133.764593
83,SAN BERNARDO,SIC,MAIPO,SAN BERNARDO,117.192718
84,EL SALTO,SIC,SANTIAGO,HUECHURABA,124.631007
85,CENTRAL MAULE,SIC,TALCA,CONSTITUCION,110.844561
86,CABILDO,SIC,PETORCA,CABILDO,110.80939
87,QUIRIHUE,SIC,NUBLE,QUIRIHUE,137.314212
88,EL PENON,SIC,ELQUI,COQUIMBO,130.191537
89,TORQUEMADA,SIC,VALPARAISO,CONCON,131.62879
90,RALCO,SIC,BIOBIO,QUILACO,118.162169
91,EL MANZANO (C.G.E.),SIC,CACHAPOAL,LAS CABRAS,136.469015
92,LEYDA,SIC,SAN ANTONIO,SAN ANTONIO,114.463858
93,RAPEL,SIC,CARDENAL CARO,LITUECHE,101.605395
94,TAP QUILPUE,SIC,MARGA MARGA,QUILPUE,139.411307
95,TAP PLACERES,SIC,VALPARAISO,VALPARAISO,104.416374
96,LONCOCHE,SIC,CAUTIN,LONCOCHE,117.169823
97,CURANILAHUE,SIC,ARAUCO,CURANILAHUE,116.52349
98,SAN CRISTOBAL,SIC,SANTIAGO,RECOLETA,120.270196
99,ANDES,SIC,SANTIAGO,LA REINA,115.421967
100,MACUL,SIC,SANTIAGO,PENALOLEN,127.855724
101,PICHIRROPULLI,SIC,VALDIVIA,PAILLACO,118.774014
102,PROCART,SIC,LINARES,YERBAS BUENAS,109.097435
103,TAP MAITENES,SIC,CARDENAL CARO,MARCHIHUE,110.251845
104,TAP LINARES NORTE,SIC,LINARES,LINARES,133.658684
105,LOS MAQUIS,SIC,TALCA,SAN RAFAEL,116.844321
106,QUINTA DE TILCOCO,SIC,CACHAPOAL,QUINTA DE TILCOCO,131.598373
107,PROVIDENCIA,SIC,TALCA,SAN CLEMENTE,114.040648
