id,sistema_electrico,provincia,comuna,consumo_kw
1535,SING,ANTOFAGASTA,ANTOFAGASTA,11086
1573,SING,IQUIQUE,PICA,11565
1593,SING,IQUIQUE,HUARA,10056
1607,SING,IQUIQUE,ALTO HOSPICIO,10968
1566,SING,ANTOFAGASTA,SIERRA GORDA,10487
1563,SING,ANTOFAGASTA,SIERRA GORDA,10473
1598,SING,IQUIQUE,HUARA,10563
1591,SING,IQUIQUE,HUARA,13781
1550,SING,EL LOA,CALAMA,13468
1609,SING,EL LOA,SAN PEDRO DE ATACAMA,13365
1576,SING,IQUIQUE,PICA,13975
1555,SING,EL LOA,CALAMA,13660
1568,SING,ARICA,ARICA,11971
1551,SING,EL LOA,CALAMA,11858
1599,SING,IQUIQUE,ALTO HOSPICIO,11586
1592,SING,IQUIQUE,HUARA,11113
1554,SING,EL LOA,CALAMA,11271
1601,SING,IQUIQUE,ALTO HOSPICIO,12556
1543,SING,ANTOFAGASTA,MEJILLONES,11364
1545,SING,IQUIQUE,IQUIQUE,10732
1620,SING,PARINACOTA,PUTRE,10995
1547,SING,IQUIQUE,IQUIQUE,11246
1583,SING,IQUIQUE,POZO ALMONTE,10896
1602,SING,IQUIQUE,ALTO HOSPICIO,10918
1537,SING,ANTOFAGASTA,ANTOFAGASTA,10998
1578,SING,TOCOPILLA,MARIA ELENA,12810
1614,SING,EL LOA,SAN PEDRO DE ATACAMA,13102
1587,SING,IQUIQUE,POZO ALMONTE,11376
1619,SING,ARICA,CAMARONES,10101
1608,SING,IQUIQUE,ALTO HOSPICIO,13054
1549,SING,EL LOA,CALAMA,13956
1618,SING,ARICA,CAMARONES,12721
1604,SING,IQUIQUE,ALTO HOSPICIO,13233
1603,SING,IQUIQUE,ALTO HOSPICIO,10864
1559,SING,TOCOPILLA,TOCOPILLA,11700
1586,SING,IQUIQUE,POZO ALMONTE,11000
1571,SING,ARICA,ARICA,13448
1580,SING,TOCOPILLA,MARIA ELENA,13308
1574,SING,IQUIQUE,PICA,10161
1558,SING,TOCOPILLA,TOCOPILLA,10120
1622,SING,PARINACOTA,PUTRE,13652
1538,SING,ANTOFAGASTA,MEJILLONES,10036
1556,SING,TOCOPILLA,TOCOPILLA,11472
1546,SING,IQUIQUE,IQUIQUE,13533
1589,SING,IQUIQUE,HUARA,12792
1561,SING,ANTOFAGASTA,SIERRA GORDA,13932
1613,SING,EL LOA,SAN PEDRO DE ATACAMA,10440
1557,SING,TOCOPILLA,TOCOPILLA,10434
1595,SING,IQUIQUE,HUARA,11978
1612,SING,EL LOA,SAN PEDRO DE ATACAMA,12073
1611,SING,EL LOA,SAN PEDRO DE ATACAMA,10685
1590,SING,IQUIQUE,HUARA,12252
1564,SING,ANTOFAGASTA,SIERRA GORDA,10656
1596,SING,IQUIQUE,HUARA,10935
1539,SING,ANTOFAGASTA,MEJILLONES,12243
1565,SING,ANTOFAGASTA,SIERRA GORDA,13612
1544,SING,IQUIQUE,IQUIQUE,12113
1570,SING,ARICA,ARICA,10934
1542,SING,ANTOFAGASTA,MEJILLONES,12600
1534,SING,ANTOFAGASTA,ANTOFAGASTA,11454
1536,SING,ANTOFAGASTA,ANTOFAGASTA,11943
1606,SING,IQUIQUE,ALTO HOSPICIO,10561
1577,SING,TOCOPILLA,MARIA ELENA,12346
1569,SING,ARICA,ARICA,10904
1541,SING,ANTOFAGASTA,MEJILLONES,11812
1581,SING,TOCOPILLA,MARIA ELENA,11985
1553,SING,EL LOA,CALAMA,13596
1594,SING,IQUIQUE,HUARA,11142
1624,SING,PARINACOTA,PUTRE,13543
1617,SING,ARICA,CAMARONES,11562
1560,SING,TOCOPILLA,TOCOPILLA,12703
1600,SING,IQUIQUE,ALTO HOSPICIO,10104
1623,SING,PARINACOTA,PUTRE,13428
1567,SING,ARICA,ARICA,12377
1562,SING,ANTOFAGASTA,SIERRA GORDA,13300
1615,SING,EL LOA,SAN PEDRO DE ATACAMA,12766
1610,SING,EL LOA,SAN PEDRO DE ATACAMA,10431
1597,SING,IQUIQUE,HUARA,13724
1584,SING,IQUIQUE,POZO ALMONTE,11772
1579,SING,TOCOPILLA,MARIA ELENA,12818
1575,SING,IQUIQUE,PICA,13497
1621,SING,PARINACOTA,PUTRE,10289
1585,SING,IQUIQUE,POZO ALMONTE,13591
1540,SING,ANTOFAGASTA,MEJILLONES,12337
1588,SING,IQUIQUE,POZO ALMONTE,11910
1605,SING,IQUIQUE,ALTO HOSPICIO,11311
1552,SING,EL LOA,CALAMA,11674
1548,SING,EL LOA,CALAMA,12470
1582,SING,TOCOPILLA,MARIA ELENA,11274
1572,SING,ARICA,ARICA,10527
1616,SING,ARICA,CAMARONES,13092
