id,nombre,sistema_electrico,provincia,comuna,consumo_mw
220,EL LOA,SING,TOCOPILLA,MARIA ELENA,111.945176
221,LLUTA,SING,ARICA,ARICA,107.873133
222,TAP OFF URIBE,SING,ANTOFAGASTA,ANTOFAGASTA,130.81986
223,EL LINCE,SING,ANTOFAGASTA,MEJILLONES,102.314974
224,ACL,SING,EL LOA,CALAMA,104.991979
225,CENTRAL DIESEL IQUIQUE,SING,IQUIQUE,IQUIQUE,137.533993
226,ISLA DE MAIPO,SING,PARINACOTA,PUTRE,109.440512
227,TAP OFF DOLORES,SING,IQUIQUE,HUARA,123.875866
228,TAP OFF BARRILES,SING,TOCOPILLA,TOCOPILLA,116.42741
229,LAGUNAS,SING,IQUIQUE,POZO ALMONTE,109.253524
230,ALTO HOSPICIO,SING,IQUIQUE,ALTO HOSPICIO,128.492507
231,ESPERANZA,SING,ANTOFAGASTA,SIERRA GORDA,135.321041
232,COLLAHUASI,SING,IQUIQUE,PICA,118.713162
233,TAP OFF VITOR N 2 MOVIL,SING,ARICA,CAMARONES,128.147363
234,TAP OFF OESTE,SING,EL LOA,SAN PEDRO DE ATACAMA,122.665338
